#multi:
,mass A,,mass B,,mass C,,
t,x,y,x,y,x,y,
0.000000E0,3.568080E-2,2.354285E-2,3.616928E-2,4.421223E-2,3.901334E-2,6.405320E-2
1.684800E-2,3.568080E-2,2.354285E-2,3.616928E-2,4.421223E-2,3.915652E-2,6.401740E-2
3.369600E-2,3.568080E-2,2.354285E-2,3.591362E-2,4.398498E-2,3.913862E-2,6.401740E-2
5.054400E-2,3.568080E-2,2.354285E-2,3.631131E-2,4.409860E-2,3.921021E-2,6.403530E-2
6.739200E-2,3.568080E-2,2.354285E-2,3.628290E-2,4.412701E-2,3.946078E-2,6.392791E-2
8.424000E-2,3.568080E-2,2.344154E-2,3.625450E-2,4.415542E-2,3.965765E-2,6.376684E-2
1.010880E-1,3.557949E-2,2.344154E-2,3.611247E-2,4.412701E-2,3.989032E-2,6.362365E-2
1.179360E-1,3.476903E-2,2.344154E-2,3.580000E-2,4.404179E-2,3.996191E-2,6.351627E-2
1.347840E-1,3.426249E-2,2.344154E-2,3.562956E-2,4.401338E-2,4.017668E-2,6.324780E-2
1.516320E-1,3.365464E-2,2.323892E-2,3.528869E-2,4.395657E-2,4.039146E-2,6.314042E-2
1.684800E-1,3.345203E-2,2.323892E-2,3.503303E-2,4.381454E-2,4.098208E-2,6.301513E-2
1.853280E-1,3.304680E-2,2.263107E-2,3.517506E-2,4.358729E-2,4.182327E-2,6.281826E-2
2.021760E-1,3.298362E-2,2.245779E-2,3.543072E-2,4.350207E-2,4.320139E-2,6.242451E-2
2.190240E-1,3.306397E-2,2.229709E-2,3.605565E-2,4.327482E-2,4.440053E-2,6.204866E-2
2.358720E-1,3.266222E-2,2.205604E-2,3.639653E-2,4.299076E-2,4.576075E-2,6.127906E-2
2.527200E-1,3.222030E-2,2.201587E-2,3.685103E-2,4.276351E-2,4.721046E-2,6.029469E-2
2.695680E-1,3.169803E-2,2.189534E-2,3.702147E-2,4.253626E-2,4.900022E-2,5.902396E-2
2.864160E-1,3.145698E-2,2.213639E-2,3.753278E-2,4.208176E-2,5.057522E-2,5.773533E-2
3.032640E-1,3.117575E-2,2.201587E-2,3.810090E-2,4.191132E-2,5.182805E-2,5.662567E-2
3.201120E-1,3.113558E-2,2.173464E-2,3.852700E-2,4.142842E-2,5.274083E-2,5.578449E-2
3.369600E-1,3.113558E-2,2.177482E-2,3.861222E-2,4.120117E-2,5.331356E-2,5.503278E-2
3.538080E-1,3.093470E-2,2.165429E-2,3.841337E-2,4.120117E-2,5.358202E-2,5.453165E-2
3.706560E-1,3.081418E-2,2.177482E-2,3.838497E-2,4.120117E-2,5.399367E-2,5.390523E-2
3.875040E-1,3.081418E-2,2.193552E-2,3.866903E-2,4.114435E-2,5.456639E-2,5.343989E-2
4.043520E-1,3.073383E-2,2.197569E-2,3.895309E-2,4.091710E-2,5.496014E-2,5.297456E-2
4.212000E-1,3.057313E-2,2.189534E-2,3.900990E-2,4.091710E-2,5.524650E-2,5.252711E-2
4.380480E-1,3.057313E-2,2.181499E-2,3.906672E-2,4.054782E-2,5.542548E-2,5.220496E-2
4.548960E-1,3.049278E-2,2.169447E-2,3.906672E-2,4.051942E-2,5.551497E-2,5.202598E-2
4.717440E-1,3.029190E-2,2.185517E-2,3.915194E-2,4.046260E-2,5.598030E-2,5.132797E-2
4.885920E-1,3.025173E-2,2.189534E-2,3.923715E-2,4.040579E-2,5.632036E-2,5.086263E-2
5.054400E-1,3.017138E-2,2.189534E-2,3.937919E-2,4.023535E-2,5.660672E-2,5.014673E-2
5.222880E-1,2.997050E-2,2.181499E-2,3.937919E-2,4.000810E-2,5.698257E-2,4.928764E-2
5.391360E-1,2.968928E-2,2.209622E-2,3.937919E-2,3.989448E-2,5.721524E-2,4.891179E-2
5.559840E-1,2.936788E-2,2.209622E-2,3.926556E-2,3.978085E-2,5.726893E-2,4.810640E-2
