#multi:
,mass A,,mass B,,mass C,,mass D,,
t,x,y,x,y,x,y,x,y,
1.146600E1,8.545988E-2,6.419290E-2,7.956412E-2,9.481219E-2,8.608617E-2,1.283446E-1,9.734743E-2,1.481839E-1
1.148266E1,8.503180E-2,6.425406E-2,7.933301E-2,9.446552E-2,8.617265E-2,1.282148E-1,9.767435E-2,1.479114E-1
1.149933E1,8.454257E-2,6.413175E-2,7.952560E-2,9.446552E-2,8.625914E-2,1.281716E-1,9.783781E-2,1.478569E-1
1.151599E1,8.490949E-2,6.339790E-2,7.952560E-2,9.446552E-2,8.630238E-2,1.281716E-1,9.805575E-2,1.476390E-1
1.153265E1,8.490949E-2,6.339790E-2,7.960264E-2,9.431145E-2,8.651860E-2,1.278689E-1,9.805575E-2,1.474755E-1
1.154931E1,8.490949E-2,6.339790E-2,7.964115E-2,9.419589E-2,8.660509E-2,1.277824E-1,9.811024E-2,1.472031E-1
1.156598E1,8.490949E-2,6.339790E-2,7.964115E-2,9.400330E-2,8.664833E-2,1.274797E-1,9.827369E-2,1.467672E-1
1.158264E1,8.497064E-2,6.321444E-2,7.987227E-2,9.357959E-2,8.651860E-2,1.272635E-1,9.838267E-2,1.464403E-1
1.159930E1,8.497064E-2,6.321444E-2,7.956412E-2,9.346404E-2,8.651860E-2,1.271337E-1,9.821921E-2,1.462768E-1
1.161596E1,8.472603E-2,6.309213E-2,7.929449E-2,9.338700E-2,8.617265E-2,1.269175E-1,9.794678E-2,1.461679E-1
1.163263E1,8.466487E-2,6.309213E-2,7.925597E-2,9.338700E-2,8.582671E-2,1.266581E-1,9.772883E-2,1.460044E-1
1.164929E1,8.460372E-2,6.290867E-2,7.925597E-2,9.334848E-2,8.586995E-2,1.265283E-1,9.767435E-2,1.457865E-1
1.166595E1,8.460372E-2,6.272521E-2,7.933301E-2,9.304033E-2,8.586995E-2,1.263554E-1,9.761986E-2,1.455140E-1
1.168262E1,8.490949E-2,6.241944E-2,7.952560E-2,9.257811E-2,8.591319E-2,1.260959E-1,9.775184E-2,1.454972E-1
1.169928E1,8.490949E-2,6.229713E-2,7.964115E-2,9.238552E-2,8.604292E-2,1.260094E-1,9.796588E-2,1.451914E-1
1.171594E1,8.497064E-2,6.229713E-2,7.964115E-2,9.250107E-2,8.630238E-2,1.258797E-1,9.811024E-2,1.448602E-1
1.173260E1,8.515411E-2,6.229713E-2,7.964115E-2,9.253959E-2,8.664833E-2,1.259229E-1,9.830223E-2,1.451609E-1
1.174927E1,8.521526E-2,6.241944E-2,7.987227E-2,9.261663E-2,8.703752E-2,1.260527E-1,9.885262E-2,1.450386E-1
1.176593E1,8.527642E-2,6.248059E-2,7.994930E-2,9.265515E-2,8.746995E-2,1.262256E-1,9.967820E-2,1.449163E-1
1.178259E1,8.533757E-2,6.266405E-2,8.006486E-2,9.280922E-2,8.846455E-2,1.261824E-1,1.015943E-1,1.441548E-1
1.179925E1,8.533757E-2,6.272521E-2,8.029597E-2,9.296330E-2,9.054023E-2,1.260094E-1,1.046177E-1,1.435283E-1
1.181592E1,8.576565E-2,6.290867E-2,8.125893E-2,9.319441E-2,9.222671E-2,1.257067E-1,1.074369E-1,1.424660E-1
1.183258E1,8.576565E-2,6.290867E-2,8.133597E-2,9.319441E-2,9.382672E-2,1.256202E-1,1.099701E-1,1.411313E-1
1.184924E1,8.576565E-2,6.290867E-2,8.168264E-2,9.319441E-2,9.529699E-2,1.253608E-1,1.125033E-1,1.396059E-1
1.186591E1,8.576565E-2,6.290867E-2,8.206782E-2,9.307885E-2,9.702672E-2,1.249283E-1,1.146960E-1,1.385845E-1
1.188257E1,8.570449E-2,6.254174E-2,8.218338E-2,9.307885E-2,9.888618E-2,1.241500E-1,1.175152E-1,1.362964E-1
1.189923E1,8.564334E-2,6.248059E-2,8.249153E-2,9.296330E-2,1.005294E-1,1.234581E-1,1.198032E-1,1.336815E-1
1.191589E1,8.558219E-2,6.235828E-2,8.226042E-2,9.296330E-2,1.022159E-1,1.225067E-1,1.219959E-1,1.310939E-1
1.193256E1,8.552103E-2,6.199136E-2,8.226042E-2,9.292478E-2,1.033402E-1,1.215554E-1,1.239843E-1,1.284109E-1
